Ant_species HW HL WL Sculpture Pilosity Spines HeadColor Nitrogen dN Linear Preference
Anochetus_diegensis 1.03 1.14 1.53 2 2 2 3 14.2 7.2 -0.00308052251900955 avoid
Apterostigma_dentigerum 1.11 1.29 2.11 3 20 0 3 12.1 6.5 0.000876168224299065 prefer
Carebara_urichi 0.4 0.42 0.47 2 3 2 3 14.1 5.3 -0.0274517449795282 avoid
Cyphomyrmex_costatus 0.48 0.48 0.63 3 0 0 2 11.9 5.5 -0.0221501613511588 avoid
Cyphomyrmex_rimosus 0.5 0.5 0.67 1 0 0 2 11.7 3.8 -0.0374994647441796 avoid
Ectatomma_ruidum 1.79 1.76 2.94 3 27 2 3 13.9 7.5 0.599606233930937 prefer
Gnamptogenys_horni 0.66 0.76 0.84 3 15 0 1 14.2 8.6 -0.000800571880984616 neutral
Hypoponera_antcnp_sp2 0.48 0.52 0.71 1 6 0 3 13.6 7.6 -0.003665431858062 avoid
Hypoponera_JTL007 0.5 0.56 0.76 1 2 0 4 12.1 6.2 -0.0115422109573016 avoid
Hypoponera_JTL013 0.49 0.6 0.77 1 10 0 3 13.6 7.1 -0.0104893741470072 avoid
Hypoponera_parva 0.37 0.46 0.55 1 3 0 2 13.7 7.8 -0.0102554104113862 avoid
Mayaponera_constricta 1.21 1.54 2.4 2 3 0 3 13.7 4.9 0.00825476081581187 prefer
Megalomyrmex_silvestrii 0.62 0.75 1.12 1 9.5 1 1 10 3.8 -0.00116981867810489 neutral
Myrmicocrypta_mek1 0.61 0.67 0.86 2 1 2 3 12.1 3.7 -0.000350945603431468 neutral
Neoponera_striatinodis 1.54 1.66 2.49 2 13 0 4 10.1 7 0.00142128641789495 prefer
Nylanderia_guatemalensis 0.45 0.48 0.7 2 5 0 2 10.6 4.5 -0.0189120686293624 avoid
Octostruma_balzani 0.5 0.48 0.52 1 0 0 3 12.2 7.5 -0.0168453889647105 avoid
Odontomachus_bauri 2.11 2.59 2.81 2 2.5 1 4 13.6 6 0.0669755358480183 prefer
Pachycondyla_harpax 1.78 1.84 2.52 2 13.5 0 6 12.2 7.6 0.069253094917484 prefer
Pheidole_dasypyx 0.54 0.5 0.61 2 3 2 3 11.9 6.1 -0.00171892281929946 neutral
Pheidole_harrisonfordi 0.41 0.41 0.44 2 5 2 3 11.8 6.2 -0.0474039295521344 avoid
Pheidole_lash9 0.54 0.52 0.72 2 7 2 3 12.2 5.5 -6.68614238624795e-05 neutral
Pheidole_mendicula 0.36 0.36 0.38 2 4 2 4 10 7.6 -0.00756482745174498 avoid
Pheidole_rugiceps 0.5 0.5 0.54 2 1 2 3 11.8 5.1 -0.0310033837278586 avoid
Pheidole_zeteki 0.34 0.34 0.39 3 4 2 3 13.9 4.2 -0.0115032170013648 avoid
Rogeria_creightoni 0.32 0.42 0.45 2 5 2 3 13.8 6.9 -0.00584909339052447 avoid
Rogeria_foreli 0.45 0.42 0.52 2 4 2 3 13.6 6.7 -0.00350945603431468 avoid
Sericomyrmex_amabilis 0.46 0.5 0.56 3 10 2 3 12.6 2 -0.00226164944433613 neutral
Solenopsis_JTsp1 0.53 0.6 0.68 3 9 2 3 9.8 7.4 -0.000350945603431468 neutral
Solenopsis_lash4 1.16 1 1.49 2 50 0 3 10.7 7.3 0.0608431554674446 prefer
Solenopsis_lash6 0.26 0.32 0.32 1 4 0 2 12.1 8.2 -0.00230064340027296 neutral
Solenopsis_terricola 0.28 0.35 0.38 1 1.5 0 2 7.7 6.5 -0.0775199844024176 avoid
Solenopsis_yellow 0.37 0.31 0.36 1 3 0 2 10.4 6.7 -0.160694092415676 avoid
Strumigenys_brevicornis 0.3 0.34 0.37 2 6 0 2 10.9 6.8 -0.0402807564827452 avoid
Strumigenys_elongata 0.45 0.53 0.46 2 5 0 2 11.5 7.5 -0.00300253460713589 neutral
Strumigenys_marginiventris 0.3 0.36 0.46 1 2 0 2 13.5 5.4 -0.0492103723922792 avoid
Strumigenys_mek1 0.31 0.38 0.39 1 2 0 2 13.2 6.1 -0.0702671085981673 avoid
Strumigenys_subedentata 0.42 0.6 0.68 2 1 2 3 13.2 3.4 -0.00214626195556511 neutral
Strumigenys_zeteki 0.32 0.4 0.45 3 2 2 3 12 3.4 -0.00233963735620979 neutral
Wasmannia_auropunctata 0.5 0.52 0.49 2 2 2 3 12.4 4.4 -0.134617499357693 avoid
