Ant_species	notes	incidence	abundance	stomach	HW	HL	WL	Sculpture	Pilosity	Spines	HeadColor	Invasive	Nitrogen	dN
Anochetus_diegensis	none	53	79	0	1.03	1.14	1.53	2	2	2	3	2	14.2	7.2
Aphaenogaster_aranoides	none	2	2	71	1.13	1.7	2.62	2	25	0	3	2	NA	NA
Apterostigma_dentigerum	none	0	0	3	1.11	1.29	2.11	3	20	0	3	2	12.1	6.5
Apterostigma_pillosum	none	10	31	9	0.65	0.86	1.24	2	13	0	3	2	NA	NA
Azteca_chartifex	none	0	0	8	0.59	0.59	0.64	1	4	0	2	2	NA	NA
Basiceros_isthmica	none	5	11	0	0.6	0.53	0.6	3	0	0	3	2	NA	NA
Brachymyrmex_antcnp_sp1	none	11	21	0	0.3	0.27	0.34	1	2	0	1	2	NA	NA
Camponotus_senex	none	0	0	7	1.4	1.36	1.8	2	10	0	6	2	9.5	NA
Carebara_panamensis	none	18	181	0	0.23	0.3	0.29	2	4	0	2	2	NA	NA
Carebara_reina	none	13	28	0	0.29	0.32	0.3	2	0	0	3	2	NA	NA
Carebara_urichi	none	27	704	0	0.4	0.42	0.47	2	3	2	3	2	14.1	5.3
Cyphomyrmex_costatus	none	90	598	4	0.48	0.48	0.63	3	0	0	2	2	11.9	5.5
Cyphomyrmex_rimosus	none	127	1089	17	0.5	0.5	0.67	1	0	0	2	2	11.7	3.8
Discothyrea_denticulata	none	6	12	0	0.36	0.44	0.38	1	0	0	2	2	NA	NA
Discothyrea_humilis	none	27	50	0	0.34	0.42	0.38	1	0	0	2	2	NA	NA
Dolichoderus_bispinosus	none	0	0	22	1.36	1.51	1.67	2	27	4	6	2	11.5	NA
Ectatomma_ruidum	none	60	82	2064	1.79	1.76	2.94	3	27	2	3	2	13.9	7.5
Ectatomma_tuberculatum	none	0	0	71	2.35	2.5	3.85	3	16.5	0	3	2	NA	NA
Gnamptogenys_hartmanni	none	1	1	2	0.8	0.79	1.18	3	23	0	3	2	NA	NA
Gnamptogenys_horni	none	10	43	3	0.66	0.76	0.84	3	15	0	1	2	14.2	8.6
Hylomyrma_dentiloba	none	0	0	3	0.87	0.87	1.22	2	22	2	3	2	NA	NA
