Ant_species HW HL WL Sculpture Pilosity Spines HeadColor Linear Preference
Anochetus_diegensis 1.03 1.14 1.53 2 2 2 3 -0.00308052251900955 avoid
Aphaenogaster_aranoides 1.13 1.7 2.62 2 25 0 3 0.0206579933965376 prefer
Apterostigma_dentigerum 1.11 1.29 2.11 3 20 0 3 0.000876168224299065 prefer
Apterostigma_pillosum 0.65 0.86 1.24 2 13 0 3 0.00141969203885547 neutral
Azteca_chartifex 0.59 0.59 0.64 1 4 0 2 0.00233644859813084 prefer
Basiceros_isthmica 0.6 0.53 0.6 3 0 0 3 -0.000428933515305128 neutral
Brachymyrmex_antcnp_sp1 0.3 0.27 0.34 1 2 0 1 -0.000818873074673426 neutral
Camponotus_senex 1.4 1.36 1.8 2 10 0 6 0.00204439252336449 prefer
Carebara_panamensis 0.23 0.3 0.29 2 4 0 2 -0.00705790602456619 avoid
Carebara_reina 0.29 0.32 0.3 2 0 0 3 -0.00109183076623123 neutral
Carebara_urichi 0.4 0.42 0.47 2 3 2 3 -0.0274517449795282 avoid
Cyphomyrmex_costatus 0.48 0.48 0.63 3 0 0 2 -0.0221501613511588 avoid
Cyphomyrmex_rimosus 0.5 0.5 0.67 1 0 0 2 -0.0374994647441796 avoid
Discothyrea_denticulata 0.36 0.44 0.38 1 0 0 2 -0.000467927471241957 neutral
Discothyrea_humilis 0.34 0.42 0.38 1 0 0 2 -0.00194969779684149 neutral
Dolichoderus_bispinosus 1.36 1.51 1.67 2 27 4 6 0.00642523364485981 prefer
Ectatomma_ruidum 1.79 1.76 2.94 3 27 2 3 0.599606233930937 prefer
Ectatomma_tuberculatum 2.35 2.5 3.85 3 16.5 0 3 0.0207359813084112 prefer
Gnamptogenys_hartmanni 0.8 0.79 1.18 3 23 0 3 0.00054511819359588 neutral
Gnamptogenys_horni 0.66 0.76 0.84 3 15 0 1 -0.000800571880984616 neutral
Hylomyrma_dentiloba 0.87 0.87 1.22 2 22 2 3 0.000876168224299065 prefer
Hypoponera_antcnp_sp2 0.48 0.52 0.71 1 6 0 3 -0.003665431858062 avoid
Hypoponera_JTL007 0.5 0.56 0.76 1 2 0 4 -0.0115422109573016 avoid
